group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,8,1.5,0.00758152,0.00703494,0
0,215585,0.302629,286.704,1675.64,8.5,1.5,0.00444662,0.00582061,0
0,215585,0.302629,286.704,1675.64,9,1.5,0.00237027,0.00497723,0
0,215585,0.302629,286.704,1675.64,9.5,1.5,0.00101215,0.00447648,0
0,215585,0.302629,286.704,1675.64,10,1.5,8.46E-19,0.00431559,0
0,215585,0.302629,286.704,1675.64,10.5,1.5,-0.00101215,0.00447648,0
0,215585,0.302629,286.704,1675.64,11,1.5,-0.00237027,0.00497723,0
0,215585,0.302629,286.704,1675.64,11.5,1.5,-0.00444662,0.00582061,0
0,215585,0.302629,286.704,1675.64,12,1.5,-0.00758152,0.00703494,0
0,215585,0.302629,286.704,1675.64,12.5,1.5,-0.0119424,0.00847855,0
0,215585,0.302629,286.704,1675.64,13,1.5,-0.0174617,0.0100943,0
0,215585,0.302629,286.704,1675.64,13.5,1.5,-0.0238822,0.0115504,0
0,215585,0.302629,286.704,1675.64,14,1.5,-0.0309943,0.0130075,0
0,215585,0.302629,286.704,1675.64,14.5,1.5,-0.0385667,0.0141275,0
0,215585,0.302629,286.704,1675.64,15,1.5,-0.0467206,0.0155747,0
0,215585,0.302629,286.704,1675.64,15.5,1.5,-0.055387,0.0168517,0
0,215585,0.302629,286.704,1675.64,16,1.5,-0.0651055,0.0191188,0
0,215585,0.302629,286.704,1675.64,16.5,1.5,-0.0757575,0.0213494,0
0,215585,0.302629,286.704,1675.64,17,1.5,-0.0883489,0.0254083,0
0,215585,0.302629,286.704,1675.64,17.5,1.5,-0.102444,0.0296826,0
0,215585,0.302629,286.704,1675.64,18,1.5,-0.119735,0.0373944,0
0,215585,0.302629,286.704,1675.64,18.5,1.5,-0.138796,0.0464934,0
0,215585,0.302629,286.704,1675.64,19,1.5,-0.160271,0.062113,0
0,215585,0.302629,286.704,1675.64,19.5,1.5,-0.17251,0.075815,0
0,215585,0.302629,286.704,1675.64,20,1.5,-0.182365,0.0849524,0
0,215585,0.302629,286.704,1675.64,0,2,0.188627,0.0915641,0
0,215585,0.302629,286.704,1675.64,0.5,2,0.184569,0.0839725,0
0,215585,0.302629,286.704,1675.64,1,2,0.176034,0.0758133,0
0,215585,0.302629,286.704,1675.64,1.5,2,0.165535,0.0659518,0
0,215585,0.302629,286.704,1675.64,2,2,0.149629,0.0546081,0
0,215585,0.302629,286.704,1675.64,2.5,2,0.134451,0.0466161,0
0,215585,0.302629,286.704,1675.64,3,2,0.119435,0.0395443,0
0,215585,0.302629,286.704,1675.64,3.5,2,0.106183,0.0349632,0
0,215585,0.302629,286.704,1675.64,4,2,0.0935836,0.0308591,0
0,215585,0.302629,286.704,1675.64,4.5,2,0.0822099,0.0282932,0
0,215585,0.302629,286.704,1675.64,5,2,0.071313,0.025945,0
0,215585,0.302629,286.704,1675.64,5.5,2,0.0611173,0.0243706,0
0,215585,0.302629,286.704,1675.64,6,2,0.0512104,0.0226216,0
0,215585,0.302629,286.704,1675.64,6.5,2,0.041742,0.0209123,0
0,215585,0.302629,286.704,1675.64,7,2,0.0326408,0.0187269,0
0,215585,0.302629,286.704,1675.64,7.5,2,0.0241884,0.0163173,0
0,215585,0.302629,286.704,1675.64,8,2,0.0166463,0.0136621,0
0,215585,0.302629,286.704,1675.64,8.5,2,0.0104135,0.0111565,0
0,215585,0.302629,286.704,1675.64,9,2,0.00571112,0.00904887,0
